epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,428510.03125,61.24526596069336,14.097064018249512,12243.146484375,110.64875030517578,nan,nan,nan,nan,nan
1,97547.953125,37.00746536254883,8.19321346282959,2787.086669921875,52.79286575317383,nan,nan,nan,nan,nan
2,85679.5390625,34.638858795166016,7.742317199707031,2447.98681640625,49.477134704589844,nan,nan,nan,nan,nan
3,84734.015625,34.49588394165039,7.6529035568237305,2420.97265625,49.2033805847168,nan,nan,nan,nan,nan
4,84649.703125,34.418907165527344,7.6751322746276855,2418.562744140625,49.17888641357422,nan,nan,nan,nan,nan
5,84496.2421875,34.43864440917969,7.672207355499268,2414.18115234375,49.13431930541992,nan,nan,nan,nan,nan
6,84900.578125,34.428550720214844,7.663858890533447,2425.72998046875,49.25170135498047,nan,nan,nan,nan,nan
7,84824.3671875,34.50099182128906,7.679434776306152,2423.5537109375,49.2296028137207,nan,nan,nan,nan,nan
8,84579.28125,34.39628601074219,7.676573276519775,2416.55224609375,49.15843963623047,nan,nan,nan,nan,nan
9,84831.5078125,34.396121978759766,7.641594409942627,2423.7578125,49.23167419433594,nan,nan,nan,nan,nan
10,84635.3515625,34.43281936645508,7.670472145080566,2418.15234375,49.174713134765625,nan,nan,nan,nan,nan
11,84081.9921875,34.37355041503906,7.647222995758057,2402.345458984375,49.013729095458984,nan,nan,nan,nan,nan
12,85018.4375,34.55177307128906,7.697975158691406,2429.0986328125,49.285884857177734,nan,nan,nan,nan,nan
13,84321.609375,34.36540603637695,7.655012607574463,2409.187255859375,49.083473205566406,nan,nan,nan,nan,nan
14,84960.703125,34.51575469970703,7.682038307189941,2427.448486328125,49.269142150878906,nan,nan,nan,nan,nan
15,84685.3671875,34.40970230102539,7.688506126403809,2419.58154296875,49.18924331665039,nan,nan,nan,nan,nan
16,84788.921875,34.51303482055664,7.682412624359131,2422.537841796875,49.21928405761719,nan,nan,nan,nan,nan
17,84193.5703125,34.292171478271484,7.6257524490356445,2405.52978515625,49.046199798583984,nan,nan,nan,nan,nan
18,84208.3671875,34.342769622802734,7.645614147186279,2405.9541015625,49.0505256652832,nan,nan,nan,nan,nan
19,84155.140625,34.374820709228516,7.6713409423828125,2404.434326171875,49.035030364990234,nan,nan,nan,nan,nan
20,85016.703125,34.55895233154297,7.662986755371094,2429.04736328125,49.28536605834961,nan,nan,nan,nan,nan
21,84219.453125,34.308815002441406,7.6576337814331055,2406.270263671875,49.053749084472656,nan,nan,nan,nan,nan
22,84693.015625,34.49201965332031,7.658519744873047,2419.803466796875,49.191497802734375,nan,nan,nan,nan,nan
23,84651.328125,34.42862319946289,7.681200981140137,2418.6103515625,49.17937088012695,nan,nan,nan,nan,nan
24,85077.78125,34.5279426574707,7.674987316131592,2430.79345703125,49.303077697753906,nan,nan,nan,nan,nan
