epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,2231692.0,140.96783447265625,29.773765563964844,63766.6796875,252.52064514160156,nan,nan,nan,nan,nan
1,260081.53125,63.880489349365234,15.211867332458496,7434.189453125,86.22174835205078,nan,nan,nan,nan,nan
2,249874.296875,62.46110153198242,14.485420227050781,7143.09912109375,84.51685333251953,nan,nan,nan,nan,nan
3,225013.984375,58.53133010864258,12.71064281463623,6434.13623046875,80.21306610107422,nan,nan,nan,nan,nan
4,170851.5,51.30061721801758,11.743148803710938,4884.50244140625,69.88921356201172,nan,nan,nan,nan,nan
5,165536.328125,50.46668243408203,11.250576972961426,4732.6259765625,68.79408264160156,nan,nan,nan,nan,nan
6,136347.515625,45.36935806274414,10.248320579528809,3900.272705078125,62.45216369628906,nan,nan,nan,nan,nan
7,129524.015625,43.848876953125,9.964529037475586,3702.9375,60.851768493652344,nan,nan,nan,nan,nan
8,108483.671875,40.06377029418945,8.997365951538086,3102.77734375,55.702579498291016,nan,nan,nan,nan,nan
9,100806.109375,38.441017150878906,8.838459014892578,2881.31103515625,53.6778450012207,nan,nan,nan,nan,nan
10,96908.4453125,37.81076431274414,8.525751113891602,2771.04931640625,52.6407585144043,nan,nan,nan,nan,nan
11,95811.8828125,37.22751235961914,8.480523109436035,2739.21533203125,52.3375129699707,nan,nan,nan,nan,nan
12,89245.078125,36.12720489501953,8.238564491271973,2552.576171875,50.52302551269531,nan,nan,nan,nan,nan
13,98200.3828125,37.95195770263672,8.42926025390625,2808.31591796875,52.99354553222656,nan,nan,nan,nan,nan
14,94974.4921875,37.400352478027344,8.234448432922363,2715.1708984375,52.107303619384766,nan,nan,nan,nan,nan
15,87219.625,35.594966888427734,8.050823211669922,2493.6796875,49.9367561340332,nan,nan,nan,nan,nan
16,86815.484375,35.65535354614258,8.210585594177246,2482.168701171875,49.82136917114258,nan,nan,nan,nan,nan
17,85970.8671875,35.38303756713867,8.036460876464844,2458.2216796875,49.5804557800293,nan,nan,nan,nan,nan
18,86488.703125,35.596229553222656,8.057831764221191,2472.8359375,49.72761917114258,nan,nan,nan,nan,nan
19,87655.203125,35.677330017089844,8.061555862426758,2506.6552734375,50.06650924682617,nan,nan,nan,nan,nan
0,14287571.0,534.7998046875,80.35576629638672,412547.0625,642.2982788085938,18405428.0,710.7072143554688,280.6290283203125,558866.25,747.5735473632812
0,15106025.0,550.542236328125,83.21906280517578,435276.6875,659.7550048828125,23916530.0,829.1210327148438,325.2880554199219,718594.0,847.69921875
0,14806537.0,543.110595703125,82.31147766113281,424805.75,651.771240234375,14035855.0,620.7769775390625,264.8043518066406,421423.84375,649.171630859375
